time,body_name,x,y,z,vx,vy,vz
0,Earth,0,0,0,0,0,0
0,Moon,3.844e+08,0,0,0,1022,0
3600,Earth,429.792,0,0,0.119387,0,0
3600,Moon,3.84365e+08,3.6792e+06,0,-9.71094,1022,0
7200,Earth,1289.4,4.11423,0,0.238779,0.00114284,0
7200,Moon,3.84295e+08,7.35807e+06,0,-19.4223,1021.91,0
10800,Earth,2578.79,16.4577,0,0.358166,0.00342874,0
10800,Moon,3.8419e+08,1.10363e+07,0,-29.1333,1021.72,0
14400,Earth,4297.93,41.1458,0,0.477537,0.00685781,0
14400,Moon,3.8405e+08,1.47135e+07,0,-38.843,1021.44,0
18000,Earth,6446.7,82.2941,0,0.596881,0.0114301,0
18000,Moon,3.83876e+08,1.83893e+07,0,-48.5504,1021.07,0
21600,Earth,9024.97,144.018,0,0.716187,0.0171454,0
21600,Moon,3.83666e+08,2.20635e+07,0,-58.2548,1020.61,0
25200,Earth,12032.6,230.431,0,0.835444,0.0240037,0
25200,Moon,3.83421e+08,2.57357e+07,0,-67.9552,1020.05,0
28800,Earth,15469.3,345.647,0,0.954642,0.0320046,0
28800,Moon,3.83142e+08,2.94055e+07,0,-77.6508,1019.4,0
32400,Earth,19334.9,493.779,0,1.07377,0.0411477,0
32400,Moon,3.82827e+08,3.30726e+07,0,-87.3407,1018.65,0
36000,Earth,23629,678.936,0,1.19282,0.0514325,0
36000,Moon,3.82478e+08,3.67368e+07,0,-97.024,1017.82,0
39600,Earth,28351.4,905.227,0,1.31177,0.0628585,0
39600,Moon,3.82094e+08,4.03976e+07,0,-106.7,1016.89,0
43200,Earth,33501.6,1176.76,0,1.43062,0.0754249,0
43200,Moon,3.81675e+08,4.40547e+07,0,-116.367,1015.86,0
46800,Earth,39079.3,1497.63,0,1.54936,0.089131,0
46800,Moon,3.81221e+08,4.77078e+07,0,-126.025,1014.75,0
50400,Earth,45084,1871.94,0,1.66797,0.103976,0
50400,Moon,3.80733e+08,5.13565e+07,0,-135.673,1013.54,0
54000,Earth,51515.2,2303.79,0,1.78645,0.119958,0
54000,Moon,3.8021e+08,5.50006e+07,0,-145.31,1012.24,0
57600,Earth,58372.4,2797.27,0,1.90478,0.137078,0
57600,Moon,3.79652e+08,5.86397e+07,0,-154.935,1010.85,0
61200,Earth,65655.1,3356.47,0,2.02296,0.155332,0
61200,Moon,3.7906e+08,6.22734e+07,0,-164.548,1009.37,0
64800,Earth,73362.6,3985.46,0,2.14096,0.174721,0
64800,Moon,3.78433e+08,6.59014e+07,0,-174.146,1007.79,0
68400,Earth,81494.2,4688.34,0,2.25879,0.195243,0
68400,Moon,3.77771e+08,6.95234e+07,0,-183.731,1006.12,0
72000,Earth,90049.3,5469.16,0,2.37643,0.216896,0
72000,Moon,3.77075e+08,7.31391e+07,0,-193.299,1004.36,0
75600,Earth,99027.3,6332,0,2.49387,0.239678,0
75600,Moon,3.76345e+08,7.67482e+07,0,-202.852,1002.5,0
79200,Earth,108427,7280.92,0,2.61109,0.263588,0
79200,Moon,3.75581e+08,8.03502e+07,0,-212.387,1000.56,0
82800,Earth,118248,8319.97,0,2.7281,0.288625,0
82800,Moon,3.74782e+08,8.39449e+07,0,-221.904,998.523,0
86400,Earth,128490,9453.2,0,2.84487,0.314785,0
86400,Moon,3.73949e+08,8.75319e+07,0,-231.402,996.395,0
90000,Earth,139151,10684.6,0,2.9614,0.342068,0
90000,Moon,3.73081e+08,9.11109e+07,0,-240.881,994.176,0
93600,Earth,150231,12018.3,0,3.07767,0.370471,0
93600,Moon,3.7218e+08,9.46816e+07,0,-250.339,991.866,0
97200,Earth,161728,13458.3,0,3.19368,0.399992,0
97200,Moon,3.71245e+08,9.82437e+07,0,-259.775,989.465,0
100800,Earth,173642,15008.6,0,3.30941,0.430628,0
100800,Moon,3.70276e+08,1.01797e+08,0,-269.189,986.973,0
104400,Earth,185971,16673.1,0,3.42486,0.462377,0
104400,Moon,3.69273e+08,1.05341e+08,0,-278.579,984.39,0
108000,Earth,198715,18456,0,3.54001,0.495237,0
108000,Moon,3.68236e+08,1.08875e+08,0,-287.945,981.717,0
111600,Earth,211873,20361.1,0,3.65486,0.529204,0
111600,Moon,3.67166e+08,1.12399e+08,0,-297.287,978.954,0
115200,Earth,225442,22392.5,0,3.76938,0.564277,0
115200,Moon,3.66062e+08,1.15913e+08,0,-306.602,976.102,0
118800,Earth,239423,24554.1,0,3.88358,0.600452,0
118800,Moon,3.64925e+08,1.19416e+08,0,-315.891,973.159,0
122400,Earth,253814,26850,0,3.99743,0.637727,0
122400,Moon,3.63755e+08,1.22909e+08,0,-325.152,970.127,0
126000,Earth,268613,29283.9,0,4.11094,0.676098,0
126000,Moon,3.62551e+08,1.2639e+08,0,-334.385,967.006,0
129600,Earth,283820,31859.9,0,4.22408,0.715562,0
129600,Moon,3.61314e+08,1.2986e+08,0,-343.588,963.796,0
133200,Earth,299433,34582,0,4.33686,0.756117,0
133200,Moon,3.60044e+08,1.33317e+08,0,-352.761,960.497,0
136800,Earth,315450,37453.9,0,4.44925,0.797758,0
136800,Moon,3.58741e+08,1.36763e+08,0,-361.903,957.11,0
140400,Earth,331871,40479.6,0,4.56126,0.840482,0
140400,Moon,3.57406e+08,1.40196e+08,0,-371.014,953.635,0
144000,Earth,348693,43663.1,0,4.67285,0.884286,0
144000,Moon,3.56037e+08,1.43616e+08,0,-380.091,950.072,0
147600,Earth,365916,47008.1,0,4.78404,0.929166,0
147600,Moon,3.54636e+08,1.47024e+08,0,-389.135,946.421,0
151200,Earth,383537,50518.5,0,4.8948,0.975119,0
151200,Moon,3.53203e+08,1.50417e+08,0,-398.145,942.684,0
154800,Earth,401555,54198.2,0,5.00513,1.02214,0
154800,Moon,3.51737e+08,1.53797e+08,0,-407.119,938.859,0
158400,Earth,419969,58051,0,5.11502,1.07023,0
158400,Moon,3.5024e+08,1.57163e+08,0,-416.057,934.948,0
162000,Earth,438777,62080.7,0,5.22445,1.11937,0
162000,Moon,3.4871e+08,1.60514e+08,0,-424.958,930.95,0
165600,Earth,457978,66291.2,0,5.33342,1.16957,0
165600,Moon,3.47148e+08,1.63851e+08,0,-433.822,926.867,0
169200,Earth,477569,70686.2,0,5.44191,1.22083,0
169200,Moon,3.45554e+08,1.67173e+08,0,-442.646,922.698,0
172800,Earth,497548,75269.5,0,5.54992,1.27313,0
172800,Moon,3.43929e+08,1.70479e+08,0,-451.432,918.443,0
176400,Earth,517915,80044.8,0,5.65743,1.32648,0
176400,Moon,3.42273e+08,1.7377e+08,0,-460.177,914.104,0
180000,Earth,538667,85015.9,0,5.76444,1.38086,0
180000,Moon,3.40585e+08,1.77045e+08,0,-468.881,909.68,0
183600,Earth,559802,90186.5,0,5.87094,1.43628,0
183600,Moon,3.38866e+08,1.80303e+08,0,-477.543,905.173,0
187200,Earth,581319,95560.3,0,5.9769,1.49273,0
187200,Moon,3.37115e+08,1.83546e+08,0,-486.163,900.581,0
190800,Earth,603216,101141,0,6.08234,1.5502,0
190800,Moon,3.35334e+08,1.86771e+08,0,-494.739,895.906,0
194400,Earth,625490,106932,0,6.18723,1.6087,0
194400,Moon,3.33523e+08,1.89979e+08,0,-503.27,891.148,0
198000,Earth,648139,112938,0,6.29156,1.66821,0
198000,Moon,3.3168e+08,1.9317e+08,0,-511.757,886.308,0
201600,Earth,671163,119161,0,6.39533,1.72872,0
201600,Moon,3.29807e+08,1.96343e+08,0,-520.198,881.385,0
205200,Earth,694557,125606,0,6.49852,1.79025,0
205200,Moon,3.27905e+08,1.99498e+08,0,-528.592,876.381,0
208800,Earth,718321,132276,0,6.60113,1.85277,0
208800,Moon,3.25972e+08,2.02634e+08,0,-536.938,871.296,0
212400,Earth,742453,139175,0,6.70315,1.91628,0
212400,Moon,3.24009e+08,2.05752e+08,0,-545.236,866.129,0
216000,Earth,766949,146306,0,6.80456,1.98078,0
216000,Moon,3.22016e+08,2.08851e+08,0,-553.485,860.882,0
219600,Earth,791808,153672,0,6.90536,2.04627,0
219600,Moon,3.19994e+08,2.11931e+08,0,-561.684,855.556,0
223200,Earth,817028,161278,0,7.00554,2.11273,0
223200,Moon,3.17943e+08,2.14992e+08,0,-569.832,850.15,0
226800,Earth,842607,169127,0,7.10508,2.18017,0
226800,Moon,3.15862e+08,2.18033e+08,0,-577.929,844.665,0
230400,Earth,868541,177221,0,7.20399,2.24857,0
230400,Moon,3.13753e+08,2.21054e+08,0,-585.974,839.101,0
234000,Earth,894829,185566,0,7.30224,2.31793,0
234000,Moon,3.11614e+08,2.24054e+08,0,-593.966,833.459,0
237600,Earth,921468,194164,0,7.39983,2.38824,0
237600,Moon,3.09448e+08,2.27034e+08,0,-601.904,827.74,0
241200,Earth,948457,203018,0,7.49675,2.4595,0
241200,Moon,3.07252e+08,2.29993e+08,0,-609.787,821.944,0
244800,Earth,975791,212132,0,7.59299,2.5317,0
244800,Moon,3.05029e+08,2.32931e+08,0,-617.616,816.071,0
248400,Earth,1.00347e+06,221509,0,7.68854,2.60483,0
248400,Moon,3.02777e+08,2.35847e+08,0,-625.388,810.122,0
252000,Earth,1.03149e+06,231153,0,7.7834,2.6789,0
252000,Moon,3.00498e+08,2.38742e+08,0,-633.103,804.098,0
255600,Earth,1.05985e+06,241067,0,7.87755,2.75388,0
255600,Moon,2.98192e+08,2.41615e+08,0,-640.761,797.999,0
259200,Earth,1.08855e+06,251255,0,7.97098,2.82978,0
259200,Moon,2.95857e+08,2.44465e+08,0,-648.361,791.825,0
262800,Earth,1.11757e+06,261718,0,8.06369,2.90659,0
262800,Moon,2.93496e+08,2.47293e+08,0,-655.902,785.577,0
266400,Earth,1.14693e+06,272462,0,8.15566,2.9843,0
266400,Moon,2.91108e+08,2.50099e+08,0,-663.383,779.256,0
270000,Earth,1.17662e+06,283488,0,8.24689,3.0629,0
270000,Moon,2.88693e+08,2.52881e+08,0,-670.804,772.863,0
273600,Earth,1.20664e+06,294801,0,8.33737,3.1424,0
273600,Moon,2.86252e+08,2.5564e+08,0,-678.164,766.397,0
277200,Earth,1.23698e+06,306403,0,8.4271,3.22277,0
277200,Moon,2.83784e+08,2.58376e+08,0,-685.462,759.859,0
280800,Earth,1.26763e+06,318297,0,8.51605,3.30401,0
280800,Moon,2.8129e+08,2.61087e+08,0,-692.697,753.251,0
284400,Earth,1.29861e+06,330487,0,8.60422,3.38613,0
284400,Moon,2.78771e+08,2.63775e+08,0,-699.869,746.572,0
288000,Earth,1.3299e+06,342976,0,8.69161,3.4691,0
288000,Moon,2.76226e+08,2.66438e+08,0,-706.978,739.823,0
291600,Earth,1.3615e+06,355767,0,8.77821,3.55292,0
291600,Moon,2.73655e+08,2.69077e+08,0,-714.021,733.005,0
295200,Earth,1.39341e+06,368862,0,8.864,3.63759,0
295200,Moon,2.7106e+08,2.71691e+08,0,-721,726.118,0
298800,Earth,1.42563e+06,382265,0,8.94898,3.72309,0
298800,Moon,2.68439e+08,2.7428e+08,0,-727.912,719.163,0
302400,Earth,1.45815e+06,395979,0,9.03314,3.80942,0
302400,Moon,2.65794e+08,2.76844e+08,0,-734.758,712.141,0
306000,Earth,1.49097e+06,410007,0,9.11648,3.89658,0
306000,Moon,2.63125e+08,2.79382e+08,0,-741.536,705.052,0
309600,Earth,1.52408e+06,424351,0,9.19898,3.98454,0
309600,Moon,2.60431e+08,2.81894e+08,0,-748.247,697.896,0
313200,Earth,1.55749e+06,439015,0,9.28063,4.07331,0
313200,Moon,2.57713e+08,2.84381e+08,0,-754.889,690.676,0
316800,Earth,1.59119e+06,454001,0,9.36144,4.16288,0
316800,Moon,2.54972e+08,2.86841e+08,0,-761.461,683.39,0
320400,Earth,1.62518e+06,469313,0,9.44138,4.25324,0
320400,Moon,2.52207e+08,2.89275e+08,0,-767.964,676.04,0
324000,Earth,1.65946e+06,484953,0,9.52046,4.34438,0
324000,Moon,2.49419e+08,2.91682e+08,0,-774.396,668.627,0
327600,Earth,1.69401e+06,500923,0,9.59866,4.43629,0
327600,Moon,2.46609e+08,2.94062e+08,0,-780.757,661.151,0
331200,Earth,1.72884e+06,517228,0,9.67598,4.52897,0
331200,Moon,2.43775e+08,2.96415e+08,0,-787.047,653.612,0
334800,Earth,1.76395e+06,533868,0,9.75241,4.6224,0
334800,Moon,2.4092e+08,2.98741e+08,0,-793.263,646.013,0
338400,Earth,1.79933e+06,550848,0,9.82794,4.71659,0
338400,Moon,2.38042e+08,3.01039e+08,0,-799.407,638.352,0
342000,Earth,1.83498e+06,568169,0,9.90257,4.81151,0
342000,Moon,2.35142e+08,3.03309e+08,0,-805.477,630.631,0
345600,Earth,1.8709e+06,585835,0,9.97628,4.90716,0
345600,Moon,2.32221e+08,3.05551e+08,0,-811.473,622.851,0
349200,Earth,1.90707e+06,603848,0,10.0491,5.00353,0
349200,Moon,2.29278e+08,3.07765e+08,0,-817.394,615.012,0
352800,Earth,1.94351e+06,622210,0,10.1209,5.10061,0
352800,Moon,2.26314e+08,3.09951e+08,0,-823.24,607.115,0
356400,Earth,1.9802e+06,640924,0,10.1919,5.1984,0
356400,Moon,2.2333e+08,3.12108e+08,0,-829.009,599.161,0
360000,Earth,2.01714e+06,659993,0,10.2619,5.29689,0
360000,Moon,2.20325e+08,3.14236e+08,0,-834.702,591.15,0
363600,Earth,2.05433e+06,679419,0,10.3309,5.39606,0
363600,Moon,2.173e+08,3.16335e+08,0,-840.318,583.083,0
367200,Earth,2.09177e+06,699204,0,10.399,5.49591,0
367200,Moon,2.14255e+08,3.18405e+08,0,-845.856,574.961,0
370800,Earth,2.12945e+06,719351,0,10.4661,5.59643,0
370800,Moon,2.1119e+08,3.20445e+08,0,-851.316,566.785,0
374400,Earth,2.16736e+06,739863,0,10.5323,5.69761,0
374400,Moon,2.08106e+08,3.22456e+08,0,-856.698,558.555,0
378000,Earth,2.20552e+06,760741,0,10.5975,5.79943,0
378000,Moon,2.05003e+08,3.24437e+08,0,-861.999,550.273,0
381600,Earth,2.2439e+06,781988,0,10.6617,5.9019,0
381600,Moon,2.01881e+08,3.26388e+08,0,-867.221,541.938,0
385200,Earth,2.28251e+06,803606,0,10.7249,6.00499,0
385200,Moon,1.9874e+08,3.28309e+08,0,-872.363,533.552,0
388800,Earth,2.32134e+06,825597,0,10.7871,6.10871,0
388800,Moon,1.95582e+08,3.30199e+08,0,-877.424,525.116,0
392400,Earth,2.36039e+06,847964,0,10.8483,6.21304,0
392400,Moon,1.92405e+08,3.32059e+08,0,-882.403,516.63,0
396000,Earth,2.39967e+06,870709,0,10.9085,6.31798,0
396000,Moon,1.89211e+08,3.33888e+08,0,-887.301,508.094,0
399600,Earth,2.43915e+06,893833,0,10.9677,6.4235,0
399600,Moon,1.85999e+08,3.35687e+08,0,-892.116,499.511,0
403200,Earth,2.47884e+06,917340,0,11.0259,6.52961,0
403200,Moon,1.8277e+08,3.37454e+08,0,-896.848,490.88,0
406800,Earth,2.51874e+06,941231,0,11.083,6.63629,0
406800,Moon,1.79525e+08,3.3919e+08,0,-901.496,482.202,0
410400,Earth,2.55884e+06,965507,0,11.1392,6.74354,0
410400,Moon,1.76263e+08,3.40894e+08,0,-906.061,473.479,0
414000,Earth,2.59914e+06,990172,0,11.1942,6.85134,0
414000,Moon,1.72985e+08,3.42567e+08,0,-910.542,464.711,0
417600,Earth,2.63964e+06,1.01523e+06,0,11.2483,6.95968,0
417600,Moon,1.69691e+08,3.44208e+08,0,-914.938,455.898,0
421200,Earth,2.68032e+06,1.04067e+06,0,11.3013,7.06855,0
421200,Moon,1.66382e+08,3.45818e+08,0,-919.249,447.042,0
424800,Earth,2.72119e+06,1.06651e+06,0,11.3532,7.17795,0
424800,Moon,1.63058e+08,3.47395e+08,0,-923.474,438.144,0
428400,Earth,2.76225e+06,1.09275e+06,0,11.4041,7.28786,0
428400,Moon,1.59718e+08,3.4894e+08,0,-927.613,429.204,0
432000,Earth,2.80348e+06,1.11938e+06,0,11.4539,7.39827,0
432000,Moon,1.56364e+08,3.50453e+08,0,-931.665,420.223,0
435600,Earth,2.84489e+06,1.14642e+06,0,11.5027,7.50918,0
435600,Moon,1.52996e+08,3.51933e+08,0,-935.63,411.202,0
439200,Earth,2.88647e+06,1.17385e+06,0,11.5504,7.62057,0
439200,Moon,1.49614e+08,3.53381e+08,0,-939.509,402.141,0
442800,Earth,2.92822e+06,1.20169e+06,0,11.597,7.73243,0
442800,Moon,1.46218e+08,3.54796e+08,0,-943.299,393.043,0
446400,Earth,2.97013e+06,1.22993e+06,0,11.6425,7.84475,0
446400,Moon,1.42809e+08,3.56178e+08,0,-947.001,383.906,0
450000,Earth,3.01221e+06,1.25858e+06,0,11.6869,7.95752,0
450000,Moon,1.39386e+08,3.57527e+08,0,-950.615,374.734,0
453600,Earth,3.05443e+06,1.28763e+06,0,11.7302,8.07073,0
453600,Moon,1.35952e+08,3.58843e+08,0,-954.14,365.525,0
457200,Earth,3.09682e+06,1.31709e+06,0,11.7725,8.18437,0
457200,Moon,1.32504e+08,3.60126e+08,0,-957.576,356.281,0
460800,Earth,3.13934e+06,1.34697e+06,0,11.8136,8.29843,0
460800,Moon,1.29045e+08,3.61375e+08,0,-960.922,347.003,0
464400,Earth,3.18202e+06,1.37726e+06,0,11.8536,8.4129,0
464400,Moon,1.25574e+08,3.62591e+08,0,-964.178,337.693,0
468000,Earth,3.22483e+06,1.40796e+06,0,11.8926,8.52777,0
468000,Moon,1.22091e+08,3.63773e+08,0,-967.344,328.349,0
471600,Earth,3.26778e+06,1.43907e+06,0,11.9304,8.64302,0
471600,Moon,1.18598e+08,3.64921e+08,0,-970.419,318.975,0
475200,Earth,3.31086e+06,1.4706e+06,0,11.9671,8.75865,0
475200,Moon,1.15094e+08,3.66035e+08,0,-973.403,309.569,0
478800,Earth,3.35407e+06,1.50255e+06,0,12.0026,8.87465,0
478800,Moon,1.11579e+08,3.67116e+08,0,-976.296,300.134,0
482400,Earth,3.3974e+06,1.53492e+06,0,12.0371,8.991,0
482400,Moon,1.08054e+08,3.68162e+08,0,-979.098,290.67,0
486000,Earth,3.44086e+06,1.56771e+06,0,12.0704,9.10769,0
486000,Moon,1.0452e+08,3.69174e+08,0,-981.807,281.179,0
489600,Earth,3.48443e+06,1.60091e+06,0,12.1026,9.22471,0
489600,Moon,1.00976e+08,3.70152e+08,0,-984.425,271.66,0
493200,Earth,3.52811e+06,1.63455e+06,0,12.1336,9.34206,0
493200,Moon,9.74229e+07,3.71096e+08,0,-986.95,262.115,0
496800,Earth,3.5719e+06,1.6686e+06,0,12.1635,9.45971,0
496800,Moon,9.38611e+07,3.72005e+08,0,-989.382,252.545,0
500400,Earth,3.61579e+06,1.70308e+06,0,12.1923,9.57767,0
500400,Moon,9.02909e+07,3.7288e+08,0,-991.721,242.95,0
504000,Earth,3.65978e+06,1.73799e+06,0,12.2199,9.69591,0
504000,Moon,8.67126e+07,3.7372e+08,0,-993.967,233.332,0
507600,Earth,3.70387e+06,1.77332e+06,0,12.2463,9.81443,0
507600,Moon,8.31266e+07,3.74525e+08,0,-996.119,223.692,0
511200,Earth,3.74805e+06,1.80908e+06,0,12.2716,9.93321,0
511200,Moon,7.95331e+07,3.75296e+08,0,-998.178,214.03,0
514800,Earth,3.79231e+06,1.84527e+06,0,12.2958,10.0523,0
514800,Moon,7.59326e+07,3.76031e+08,0,-1000.14,204.347,0
518400,Earth,3.83666e+06,1.88188e+06,0,12.3188,10.1715,0
518400,Moon,7.23254e+07,3.76732e+08,0,-1002.01,194.645,0
522000,Earth,3.88108e+06,1.91893e+06,0,12.3406,10.291,0
522000,Moon,6.87117e+07,3.77398e+08,0,-1003.79,184.924,0
525600,Earth,3.92558e+06,1.95641e+06,0,12.3613,10.4108,0
525600,Moon,6.5092e+07,3.78028e+08,0,-1005.47,175.185,0
529200,Earth,3.97016e+06,1.99432e+06,0,12.3808,10.5307,0
529200,Moon,6.14666e+07,3.78624e+08,0,-1007.06,165.429,0
532800,Earth,4.01479e+06,2.03266e+06,0,12.3991,10.6509,0
532800,Moon,5.78359e+07,3.79184e+08,0,-1008.55,155.656,0
536400,Earth,4.05949e+06,2.07144e+06,0,12.4163,10.7712,0
536400,Moon,5.42e+07,3.79709e+08,0,-1009.95,145.869,0
540000,Earth,4.10425e+06,2.11065e+06,0,12.4323,10.8917,0
540000,Moon,5.05596e+07,3.80199e+08,0,-1011.25,136.068,0
543600,Earth,4.14906e+06,2.15029e+06,0,12.4471,11.0124,0
543600,Moon,4.69147e+07,3.80654e+08,0,-1012.45,126.253,0
547200,Earth,4.19392e+06,2.19037e+06,0,12.4608,11.1332,0
547200,Moon,4.32659e+07,3.81073e+08,0,-1013.56,116.426,0
550800,Earth,4.23882e+06,2.23089e+06,0,12.4733,11.2541,0
550800,Moon,3.96134e+07,3.81457e+08,0,-1014.58,106.587,0
554400,Earth,4.28376e+06,2.27184e+06,0,12.4846,11.3752,0
554400,Moon,3.59576e+07,3.81805e+08,0,-1015.5,96.7384,0
558000,Earth,4.32874e+06,2.31323e+06,0,12.4947,11.4964,0
558000,Moon,3.22989e+07,3.82118e+08,0,-1016.32,86.88,0
561600,Earth,4.37376e+06,2.35505e+06,0,12.5036,11.6177,0
561600,Moon,2.86375e+07,3.82395e+08,0,-1017.05,77.013,0
565200,Earth,4.4188e+06,2.39731e+06,0,12.5114,11.7391,0
565200,Moon,2.49739e+07,3.82637e+08,0,-1017.68,67.1384,0
568800,Earth,4.46386e+06,2.44001e+06,0,12.5179,11.8606,0
568800,Moon,2.13083e+07,3.82843e+08,0,-1018.21,57.2571,0
572400,Earth,4.50895e+06,2.48314e+06,0,12.5233,11.9821,0
572400,Moon,1.76412e+07,3.83013e+08,0,-1018.65,47.3701,0
576000,Earth,4.55405e+06,2.52672e+06,0,12.5275,12.1037,0
576000,Moon,1.39728e+07,3.83148e+08,0,-1018.99,37.4783,0
579600,Earth,4.59916e+06,2.57073e+06,0,12.5305,12.2254,0
579600,Moon,1.03036e+07,3.83247e+08,0,-1019.24,27.5827,0
583200,Earth,4.64427e+06,2.61518e+06,0,12.5323,12.3471,0
583200,Moon,6.63378e+06,3.83311e+08,0,-1019.38,17.6842,0
586800,Earth,4.68939e+06,2.66007e+06,0,12.533,12.4688,0
586800,Moon,2.96381e+06,3.83339e+08,0,-1019.44,7.78378,0
590400,Earth,4.73451e+06,2.70539e+06,0,12.5324,12.5905,0
590400,Moon,-705991,3.83332e+08,0,-1019.39,-2.11761,0
594000,Earth,4.77962e+06,2.75116e+06,0,12.5307,12.7123,0
594000,Moon,-4.37529e+06,3.83288e+08,0,-1019.25,-12.019,0
597600,Earth,4.82472e+06,2.79736e+06,0,12.5278,12.834,0
597600,Moon,-8.04372e+06,3.83209e+08,0,-1019.01,-21.9195,0
601200,Earth,4.8698e+06,2.844e+06,0,12.5236,12.9557,0
601200,Moon,-1.1711e+07,3.83095e+08,0,-1018.68,-31.8182,0
604800,Earth,4.91487e+06,2.89108e+06,0,12.5183,13.0773,0
604800,Moon,-1.53766e+07,3.82945e+08,0,-1018.24,-41.7139,0
608400,Earth,4.95991e+06,2.93859e+06,0,12.5118,13.199,0
608400,Moon,-1.90404e+07,3.82759e+08,0,-1017.72,-51.6059,0
612000,Earth,5.00493e+06,2.98655e+06,0,12.5042,13.3205,0
612000,Moon,-2.27019e+07,3.82537e+08,0,-1017.09,-61.4932,0
615600,Earth,5.04991e+06,3.03494e+06,0,12.4953,13.442,0
615600,Moon,-2.63609e+07,3.82281e+08,0,-1016.37,-71.3748,0
619200,Earth,5.09486e+06,3.08377e+06,0,12.4852,13.5634,0
619200,Moon,-3.00169e+07,3.81988e+08,0,-1015.55,-81.2497,0
622800,Earth,5.13976e+06,3.13303e+06,0,12.474,13.6847,0
622800,Moon,-3.36696e+07,3.8166e+08,0,-1014.64,-91.117,0
626400,Earth,5.18463e+06,3.18273e+06,0,12.4616,13.8059,0
626400,Moon,-3.73186e+07,3.81297e+08,0,-1013.63,-100.976,0
630000,Earth,5.22944e+06,3.23287e+06,0,12.448,13.927,0
630000,Moon,-4.09637e+07,3.80898e+08,0,-1012.52,-110.825,0
633600,Earth,5.2742e+06,3.28344e+06,0,12.4332,14.048,0
633600,Moon,-4.46044e+07,3.80463e+08,0,-1011.32,-120.664,0
